intent,response_type,question_group,question_patterns,answer_text,is_out_of_scope,priority
SERVICE_INTRO,TEMPLATE,서비스 소개,"하마가 뭐야|이 사이트 뭐야|무슨 서비스야|하마 소개해줘|사이트 기능 알려줘|하마는 어떤 서비스야|여기서 뭐 할 수 있어","하마는 여러 중고거래 사이트의 상품 정보를 한곳에서 비교할 수 있게 도와주는 서비스입니다. 상품 검색, 가격 비교, 시세 확인, 맞춤 추천, 찜, 알림 기능을 중심으로 이용할 수 있습니다.",N,100
CHATBOT_HELP,TEMPLATE,챗봇 기능 안내,"챗봇은 뭐 할 수 있어|AI는 뭐 도와줘|사육사 AI가 뭐야|살래말래 AI가 뭐야|챗봇 사용법 알려줘|챗봇한테 뭘 물어보면 돼|하마 챗봇 기능 알려줘","하마 챗봇은 중고 상품 추천, 가격 비교, 사육사 AI 가격 판단, 사이트 이용 방법 안내를 도와드립니다. 로그인한 사용자의 찜 목록과 최근 본 상품도 비교에 활용할 수 있습니다.",N,100
SEARCH_HELP,TEMPLATE,검색 방법,"검색은 어떻게 해|상품 찾는 법 알려줘|검색 잘하는 방법|상품 검색 방법|어떻게 찾으면 돼|원하는 상품은 어떻게 찾아|검색어는 어떻게 입력해","검색창에 상품명을 입력하면 여러 중고거래 플랫폼의 상품을 한곳에서 비교할 수 있습니다. 브랜드명, 모델명, 카테고리처럼 핵심 단어 위주로 검색하면 더 정확한 결과를 볼 수 있습니다.",N,98
SEARCH_KEYWORD_TIP,TEMPLATE,검색어 작성 팁,"검색 결과가 이상해|검색어를 어떻게 써야 해|검색이 잘 안돼|상품명이 너무 길어|어떤 단어로 검색해야 해","검색어는 너무 긴 문장보다 핵심 상품명 위주로 입력하는 것이 좋습니다. 예를 들어 '아이폰 14 128GB', '갤럭시 S23', '게이밍 노트북'처럼 브랜드와 모델명을 함께 입력해 보세요.",N,96
NO_RESULT_GUIDE,TEMPLATE,검색 결과 없음 안내,"상품이 안 나와|검색 결과가 없어|왜 상품이 없어|추천 상품을 못 찾았대|찾는 상품이 없다고 나와|결과가 너무 적어","검색 결과가 없을 때는 상품명이 아직 수집되지 않았거나 검색어가 너무 구체적일 수 있습니다. 브랜드명, 모델명, 카테고리처럼 핵심 단어 위주로 다시 검색해 보세요.",N,95
PRICE_COMPARE_GUIDE,TEMPLATE,가격 비교 기준,"가격 비교는 어떻게 해|시세는 어떻게 봐|평균가는 뭐야|거래완료 평균가가 뭐야|가격 비교 기준 알려줘|비슷한 상품 평균가는 뭐야|시세 기준이 뭐야","하마는 수집된 중고 매물의 현재가, 유사 상품 평균가, 거래완료 평균가를 기준으로 가격을 비교합니다. 특정 상품의 상세 화면에서 사육사 AI를 누르면 현재 가격이 괜찮은지 더 쉽게 확인할 수 있습니다.",N,95
CURRENT_PRICE_GUIDE,TEMPLATE,현재가 안내,"현재가는 뭐야|현재 가격은 어떤 기준이야|상품 가격은 어디서 가져와|판매 가격은 정확해|현재가가 무슨 뜻이야","현재가는 원문 판매글에 등록된 판매 가격을 기준으로 보여드립니다. 판매자가 원문 페이지에서 가격을 바꾸거나 판매 상태를 변경하면 수집 시점에 따라 화면과 원문이 다를 수 있습니다.",N,94
AVERAGE_PRICE_GUIDE,TEMPLATE,평균가 안내,"평균 매물가는 뭐야|유사 상품 평균가는 뭐야|평균 가격은 어떻게 계산해|평균가는 믿을 수 있어|비슷한 상품 평균이 뭐야","유사 상품 평균가는 상품명과 카테고리가 비슷한 매물들의 가격을 모아 계산한 참고용 값입니다. 실제 구매 판단은 상품 상태, 구성품, 거래 지역, 판매 완료 여부까지 함께 확인하는 것이 좋습니다.",N,94
SOLD_PRICE_GUIDE,TEMPLATE,거래완료가 안내,"거래완료 평균가는 뭐야|판매완료 가격은 뭐야|거래된 가격을 볼 수 있어|실거래가는 어떻게 봐|거래완료 기준 알려줘","거래완료 평균가는 판매 완료로 확인된 유사 상품들의 평균 가격입니다. 현재 판매 중인 상품의 가격이 적절한지 볼 때 참고 기준으로 활용할 수 있습니다.",N,94
AI_PRICE_ADVICE_GUIDE,TEMPLATE,사육사 AI 사용법,"사육사 AI는 어떻게 써|사육사 AI 사용법|살래말래는 어떻게 써|살래말래 AI 사용법|이 상품 살지 말지 판단해줘|가격 괜찮은지 보는 법|사육사 AI 버튼은 뭐야|AI 판단 기준 알려줘","상품 상세 화면의 사육사 AI 버튼을 누르면 해당 상품의 현재가, 유사 상품 평균가, 거래완료 평균가를 기준으로 가격이 괜찮은지 안내받을 수 있습니다.",N,93
